Brand_Name,Material_Type,Eco_Friendly_Manufacturing,Recycling_Programs,Certifications,Transaction_Items
Brand_4748,Recycled Polyester,No,No,Fair Trade,"['Recycled Polyester', 'No', 'No', 'Fair Trade']"
Brand_24,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_1484,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_4989,Vegan Leather,No,Yes,Cradle to Cradle,"['Vegan Leather', 'No', 'Yes', 'Cradle to Cradle']"
Brand_585,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_2466,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_2823,Hemp,No,No,OEKO-TEX,"['Hemp', 'No', 'No', 'OEKO-TEX']"
Brand_2352,Organic Cotton,No,No,Fair Trade,"['Organic Cotton', 'No', 'No', 'Fair Trade']"
Brand_3459,Tencel,Yes,Yes,B Corp,"['Tencel', 'Yes', 'Yes', 'B Corp']"
Brand_4869,Hemp,Yes,Yes,Fair Trade,"['Hemp', 'Yes', 'Yes', 'Fair Trade']"
Brand_4968,Bamboo Fabric,Yes,No,GOTS,"['Bamboo Fabric', 'Yes', 'No', 'GOTS']"
Brand_2811,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_2293,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_2030,Tencel,Yes,Yes,B Corp,"['Tencel', 'Yes', 'Yes', 'B Corp']"
Brand_2211,Hemp,No,No,Fair Trade,"['Hemp', 'No', 'No', 'Fair Trade']"
Brand_625,Vegan Leather,No,No,Fair Trade,"['Vegan Leather', 'No', 'No', 'Fair Trade']"
Brand_2886,Vegan Leather,Yes,No,B Corp,"['Vegan Leather', 'Yes', 'No', 'B Corp']"
Brand_169,Organic Cotton,No,Yes,GOTS,"['Organic Cotton', 'No', 'Yes', 'GOTS']"
Brand_4304,Hemp,No,No,Fair Trade,"['Hemp', 'No', 'No', 'Fair Trade']"
Brand_3929,Bamboo Fabric,No,Yes,Cradle to Cradle,"['Bamboo Fabric', 'No', 'Yes', 'Cradle to Cradle']"
Brand_423,Recycled Polyester,Yes,Yes,Fair Trade,"['Recycled Polyester', 'Yes', 'Yes', 'Fair Trade']"
Brand_2270,Hemp,Yes,No,B Corp,"['Hemp', 'Yes', 'No', 'B Corp']"
Brand_3680,Vegan Leather,No,Yes,Fair Trade,"['Vegan Leather', 'No', 'Yes', 'Fair Trade']"
Brand_1232,Bamboo Fabric,Yes,No,Fair Trade,"['Bamboo Fabric', 'Yes', 'No', 'Fair Trade']"
Brand_655,Recycled Polyester,Yes,Yes,OEKO-TEX,"['Recycled Polyester', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_280,Hemp,No,No,OEKO-TEX,"['Hemp', 'No', 'No', 'OEKO-TEX']"
Brand_3498,Hemp,Yes,Yes,OEKO-TEX,"['Hemp', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_801,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_3291,Recycled Polyester,No,No,GOTS,"['Recycled Polyester', 'No', 'No', 'GOTS']"
Brand_953,Organic Cotton,No,No,OEKO-TEX,"['Organic Cotton', 'No', 'No', 'OEKO-TEX']"
Brand_4551,Organic Cotton,Yes,Yes,B Corp,"['Organic Cotton', 'Yes', 'Yes', 'B Corp']"
Brand_3455,Vegan Leather,No,Yes,GOTS,"['Vegan Leather', 'No', 'Yes', 'GOTS']"
Brand_834,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_3089,Vegan Leather,No,Yes,Fair Trade,"['Vegan Leather', 'No', 'Yes', 'Fair Trade']"
Brand_1362,Bamboo Fabric,Yes,Yes,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_1261,Hemp,Yes,Yes,GOTS,"['Hemp', 'Yes', 'Yes', 'GOTS']"
Brand_1666,Vegan Leather,No,Yes,Fair Trade,"['Vegan Leather', 'No', 'Yes', 'Fair Trade']"
Brand_5175,Vegan Leather,No,No,OEKO-TEX,"['Vegan Leather', 'No', 'No', 'OEKO-TEX']"
Brand_643,Recycled Polyester,No,No,OEKO-TEX,"['Recycled Polyester', 'No', 'No', 'OEKO-TEX']"
Brand_4252,Hemp,No,Yes,Fair Trade,"['Hemp', 'No', 'Yes', 'Fair Trade']"
Brand_4969,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_374,Recycled Polyester,Yes,No,GOTS,"['Recycled Polyester', 'Yes', 'No', 'GOTS']"
Brand_3050,Recycled Polyester,No,Yes,Fair Trade,"['Recycled Polyester', 'No', 'Yes', 'Fair Trade']"
Brand_3162,Organic Cotton,Yes,Yes,OEKO-TEX,"['Organic Cotton', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_473,Vegan Leather,No,Yes,B Corp,"['Vegan Leather', 'No', 'Yes', 'B Corp']"
Brand_1703,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_1050,Bamboo Fabric,No,No,B Corp,"['Bamboo Fabric', 'No', 'No', 'B Corp']"
Brand_2776,Recycled Polyester,No,Yes,OEKO-TEX,"['Recycled Polyester', 'No', 'Yes', 'OEKO-TEX']"
Brand_4749,Vegan Leather,No,No,B Corp,"['Vegan Leather', 'No', 'No', 'B Corp']"
Brand_2223,Bamboo Fabric,No,Yes,OEKO-TEX,"['Bamboo Fabric', 'No', 'Yes', 'OEKO-TEX']"
Brand_2918,Recycled Polyester,No,No,Fair Trade,"['Recycled Polyester', 'No', 'No', 'Fair Trade']"
Brand_4450,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_4611,Hemp,Yes,No,GOTS,"['Hemp', 'Yes', 'No', 'GOTS']"
Brand_2659,Tencel,Yes,Yes,B Corp,"['Tencel', 'Yes', 'Yes', 'B Corp']"
Brand_4568,Bamboo Fabric,No,Yes,OEKO-TEX,"['Bamboo Fabric', 'No', 'Yes', 'OEKO-TEX']"
Brand_2806,Recycled Polyester,Yes,Yes,B Corp,"['Recycled Polyester', 'Yes', 'Yes', 'B Corp']"
Brand_1621,Bamboo Fabric,No,No,Cradle to Cradle,"['Bamboo Fabric', 'No', 'No', 'Cradle to Cradle']"
Brand_4911,Recycled Polyester,No,Yes,GOTS,"['Recycled Polyester', 'No', 'Yes', 'GOTS']"
Brand_4715,Bamboo Fabric,Yes,No,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'No', 'OEKO-TEX']"
Brand_4849,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_4309,Bamboo Fabric,No,Yes,OEKO-TEX,"['Bamboo Fabric', 'No', 'Yes', 'OEKO-TEX']"
Brand_2630,Recycled Polyester,No,No,OEKO-TEX,"['Recycled Polyester', 'No', 'No', 'OEKO-TEX']"
Brand_1943,Organic Cotton,No,Yes,GOTS,"['Organic Cotton', 'No', 'Yes', 'GOTS']"
Brand_1554,Vegan Leather,No,Yes,GOTS,"['Vegan Leather', 'No', 'Yes', 'GOTS']"
Brand_1838,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_4432,Bamboo Fabric,No,Yes,B Corp,"['Bamboo Fabric', 'No', 'Yes', 'B Corp']"
Brand_3274,Bamboo Fabric,No,No,GOTS,"['Bamboo Fabric', 'No', 'No', 'GOTS']"
Brand_2586,Vegan Leather,No,Yes,B Corp,"['Vegan Leather', 'No', 'Yes', 'B Corp']"
Brand_133,Hemp,No,No,GOTS,"['Hemp', 'No', 'No', 'GOTS']"
Brand_4825,Tencel,No,Yes,GOTS,"['Tencel', 'No', 'Yes', 'GOTS']"
Brand_1753,Bamboo Fabric,Yes,Yes,Fair Trade,"['Bamboo Fabric', 'Yes', 'Yes', 'Fair Trade']"
Brand_1570,Organic Cotton,Yes,No,OEKO-TEX,"['Organic Cotton', 'Yes', 'No', 'OEKO-TEX']"
Brand_1039,Recycled Polyester,No,Yes,OEKO-TEX,"['Recycled Polyester', 'No', 'Yes', 'OEKO-TEX']"
Brand_2771,Organic Cotton,No,No,GOTS,"['Organic Cotton', 'No', 'No', 'GOTS']"
Brand_1819,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_3221,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_4097,Bamboo Fabric,No,Yes,GOTS,"['Bamboo Fabric', 'No', 'Yes', 'GOTS']"
Brand_152,Hemp,No,No,OEKO-TEX,"['Hemp', 'No', 'No', 'OEKO-TEX']"
Brand_1938,Organic Cotton,Yes,No,Fair Trade,"['Organic Cotton', 'Yes', 'No', 'Fair Trade']"
Brand_1619,Organic Cotton,Yes,No,GOTS,"['Organic Cotton', 'Yes', 'No', 'GOTS']"
Brand_3306,Organic Cotton,No,Yes,OEKO-TEX,"['Organic Cotton', 'No', 'Yes', 'OEKO-TEX']"
Brand_487,Hemp,No,No,B Corp,"['Hemp', 'No', 'No', 'B Corp']"
Brand_4459,Hemp,No,Yes,OEKO-TEX,"['Hemp', 'No', 'Yes', 'OEKO-TEX']"
Brand_3423,Tencel,Yes,No,GOTS,"['Tencel', 'Yes', 'No', 'GOTS']"
Brand_1927,Vegan Leather,Yes,No,B Corp,"['Vegan Leather', 'Yes', 'No', 'B Corp']"
Brand_4561,Organic Cotton,Yes,Yes,B Corp,"['Organic Cotton', 'Yes', 'Yes', 'B Corp']"
Brand_30,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_66,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_2224,Recycled Polyester,No,No,B Corp,"['Recycled Polyester', 'No', 'No', 'B Corp']"
Brand_1486,Hemp,No,Yes,OEKO-TEX,"['Hemp', 'No', 'Yes', 'OEKO-TEX']"
Brand_4916,Recycled Polyester,Yes,Yes,Fair Trade,"['Recycled Polyester', 'Yes', 'Yes', 'Fair Trade']"
Brand_1159,Organic Cotton,Yes,No,GOTS,"['Organic Cotton', 'Yes', 'No', 'GOTS']"
Brand_4558,Tencel,No,No,B Corp,"['Tencel', 'No', 'No', 'B Corp']"
Brand_4909,Organic Cotton,Yes,No,OEKO-TEX,"['Organic Cotton', 'Yes', 'No', 'OEKO-TEX']"
Brand_545,Tencel,No,Yes,GOTS,"['Tencel', 'No', 'Yes', 'GOTS']"
Brand_1814,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_2306,Bamboo Fabric,Yes,Yes,Fair Trade,"['Bamboo Fabric', 'Yes', 'Yes', 'Fair Trade']"
Brand_4819,Hemp,No,Yes,B Corp,"['Hemp', 'No', 'Yes', 'B Corp']"
Brand_4504,Hemp,No,No,Fair Trade,"['Hemp', 'No', 'No', 'Fair Trade']"
Brand_241,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_3362,Tencel,No,Yes,Fair Trade,"['Tencel', 'No', 'Yes', 'Fair Trade']"
Brand_777,Organic Cotton,Yes,Yes,OEKO-TEX,"['Organic Cotton', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_3047,Organic Cotton,Yes,No,Fair Trade,"['Organic Cotton', 'Yes', 'No', 'Fair Trade']"
Brand_4518,Recycled Polyester,Yes,No,GOTS,"['Recycled Polyester', 'Yes', 'No', 'GOTS']"
Brand_3785,Hemp,Yes,Yes,Fair Trade,"['Hemp', 'Yes', 'Yes', 'Fair Trade']"
Brand_627,Recycled Polyester,No,Yes,GOTS,"['Recycled Polyester', 'No', 'Yes', 'GOTS']"
Brand_4897,Vegan Leather,No,No,B Corp,"['Vegan Leather', 'No', 'No', 'B Corp']"
Brand_2519,Bamboo Fabric,No,Yes,Fair Trade,"['Bamboo Fabric', 'No', 'Yes', 'Fair Trade']"
Brand_4817,Hemp,No,No,Fair Trade,"['Hemp', 'No', 'No', 'Fair Trade']"
Brand_1823,Bamboo Fabric,Yes,Yes,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_1426,Organic Cotton,Yes,Yes,Fair Trade,"['Organic Cotton', 'Yes', 'Yes', 'Fair Trade']"
Brand_3379,Hemp,No,No,B Corp,"['Hemp', 'No', 'No', 'B Corp']"
Brand_2802,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_486,Tencel,No,Yes,B Corp,"['Tencel', 'No', 'Yes', 'B Corp']"
Brand_2464,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_590,Hemp,No,Yes,B Corp,"['Hemp', 'No', 'Yes', 'B Corp']"
Brand_3185,Recycled Polyester,No,Yes,B Corp,"['Recycled Polyester', 'No', 'Yes', 'B Corp']"
Brand_34,Vegan Leather,Yes,No,Fair Trade,"['Vegan Leather', 'Yes', 'No', 'Fair Trade']"
Brand_4962,Tencel,No,No,OEKO-TEX,"['Tencel', 'No', 'No', 'OEKO-TEX']"
Brand_4344,Bamboo Fabric,No,Yes,GOTS,"['Bamboo Fabric', 'No', 'Yes', 'GOTS']"
Brand_2390,Tencel,No,Yes,OEKO-TEX,"['Tencel', 'No', 'Yes', 'OEKO-TEX']"
Brand_2834,Organic Cotton,No,No,B Corp,"['Organic Cotton', 'No', 'No', 'B Corp']"
Brand_2216,Recycled Polyester,No,No,B Corp,"['Recycled Polyester', 'No', 'No', 'B Corp']"
Brand_4007,Tencel,No,Yes,GOTS,"['Tencel', 'No', 'Yes', 'GOTS']"
Brand_3985,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_228,Recycled Polyester,No,Yes,B Corp,"['Recycled Polyester', 'No', 'Yes', 'B Corp']"
Brand_4628,Bamboo Fabric,Yes,No,Fair Trade,"['Bamboo Fabric', 'Yes', 'No', 'Fair Trade']"
Brand_3976,Recycled Polyester,Yes,Yes,Fair Trade,"['Recycled Polyester', 'Yes', 'Yes', 'Fair Trade']"
Brand_1594,Tencel,Yes,Yes,B Corp,"['Tencel', 'Yes', 'Yes', 'B Corp']"
Brand_1821,Organic Cotton,No,No,Fair Trade,"['Organic Cotton', 'No', 'No', 'Fair Trade']"
Brand_2880,Hemp,Yes,Yes,Fair Trade,"['Hemp', 'Yes', 'Yes', 'Fair Trade']"
Brand_2982,Vegan Leather,No,Yes,OEKO-TEX,"['Vegan Leather', 'No', 'Yes', 'OEKO-TEX']"
Brand_4553,Hemp,Yes,No,Fair Trade,"['Hemp', 'Yes', 'No', 'Fair Trade']"
Brand_1455,Organic Cotton,No,No,B Corp,"['Organic Cotton', 'No', 'No', 'B Corp']"
Brand_3894,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_600,Hemp,Yes,Yes,GOTS,"['Hemp', 'Yes', 'Yes', 'GOTS']"
Brand_4372,Vegan Leather,Yes,Yes,Fair Trade,"['Vegan Leather', 'Yes', 'Yes', 'Fair Trade']"
Brand_347,Vegan Leather,Yes,Yes,Fair Trade,"['Vegan Leather', 'Yes', 'Yes', 'Fair Trade']"
Brand_562,Recycled Polyester,No,Yes,B Corp,"['Recycled Polyester', 'No', 'Yes', 'B Corp']"
Brand_4016,Organic Cotton,Yes,No,GOTS,"['Organic Cotton', 'Yes', 'No', 'GOTS']"
Brand_3033,Hemp,Yes,No,OEKO-TEX,"['Hemp', 'Yes', 'No', 'OEKO-TEX']"
Brand_1216,Vegan Leather,No,Yes,OEKO-TEX,"['Vegan Leather', 'No', 'Yes', 'OEKO-TEX']"
Brand_2334,Vegan Leather,Yes,Yes,B Corp,"['Vegan Leather', 'Yes', 'Yes', 'B Corp']"
Brand_1243,Tencel,Yes,No,Fair Trade,"['Tencel', 'Yes', 'No', 'Fair Trade']"
Brand_2281,Organic Cotton,Yes,Yes,Fair Trade,"['Organic Cotton', 'Yes', 'Yes', 'Fair Trade']"
Brand_4963,Vegan Leather,Yes,Yes,Fair Trade,"['Vegan Leather', 'Yes', 'Yes', 'Fair Trade']"
Brand_4524,Hemp,No,No,GOTS,"['Hemp', 'No', 'No', 'GOTS']"
Brand_1437,Recycled Polyester,No,Yes,GOTS,"['Recycled Polyester', 'No', 'Yes', 'GOTS']"
Brand_1946,Organic Cotton,No,Yes,GOTS,"['Organic Cotton', 'No', 'Yes', 'GOTS']"
Brand_4009,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_4694,Hemp,No,Yes,Fair Trade,"['Hemp', 'No', 'Yes', 'Fair Trade']"
Brand_2955,Bamboo Fabric,No,Yes,GOTS,"['Bamboo Fabric', 'No', 'Yes', 'GOTS']"
Brand_297,Organic Cotton,No,No,OEKO-TEX,"['Organic Cotton', 'No', 'No', 'OEKO-TEX']"
Brand_2933,Bamboo Fabric,Yes,No,GOTS,"['Bamboo Fabric', 'Yes', 'No', 'GOTS']"
Brand_997,Bamboo Fabric,No,Yes,GOTS,"['Bamboo Fabric', 'No', 'Yes', 'GOTS']"
Brand_4051,Bamboo Fabric,Yes,No,Fair Trade,"['Bamboo Fabric', 'Yes', 'No', 'Fair Trade']"
Brand_4273,Recycled Polyester,No,No,GOTS,"['Recycled Polyester', 'No', 'No', 'GOTS']"
Brand_2857,Bamboo Fabric,Yes,No,Fair Trade,"['Bamboo Fabric', 'Yes', 'No', 'Fair Trade']"
Brand_2154,Vegan Leather,No,No,B Corp,"['Vegan Leather', 'No', 'No', 'B Corp']"
Brand_1567,Hemp,No,No,B Corp,"['Hemp', 'No', 'No', 'B Corp']"
Brand_3805,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_4595,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_1320,Recycled Polyester,No,Yes,B Corp,"['Recycled Polyester', 'No', 'Yes', 'B Corp']"
Brand_2227,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_2838,Tencel,Yes,No,B Corp,"['Tencel', 'Yes', 'No', 'B Corp']"
Brand_1887,Hemp,Yes,Yes,GOTS,"['Hemp', 'Yes', 'Yes', 'GOTS']"
Brand_3572,Organic Cotton,Yes,No,OEKO-TEX,"['Organic Cotton', 'Yes', 'No', 'OEKO-TEX']"
Brand_4536,Vegan Leather,Yes,No,Fair Trade,"['Vegan Leather', 'Yes', 'No', 'Fair Trade']"
Brand_2471,Vegan Leather,Yes,Yes,B Corp,"['Vegan Leather', 'Yes', 'Yes', 'B Corp']"
Brand_3352,Recycled Polyester,No,No,B Corp,"['Recycled Polyester', 'No', 'No', 'B Corp']"
Brand_2524,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_2504,Vegan Leather,Yes,No,OEKO-TEX,"['Vegan Leather', 'Yes', 'No', 'OEKO-TEX']"
Brand_945,Organic Cotton,Yes,Yes,B Corp,"['Organic Cotton', 'Yes', 'Yes', 'B Corp']"
Brand_85,Recycled Polyester,No,No,OEKO-TEX,"['Recycled Polyester', 'No', 'No', 'OEKO-TEX']"
Brand_2241,Hemp,Yes,Yes,Fair Trade,"['Hemp', 'Yes', 'Yes', 'Fair Trade']"
Brand_765,Vegan Leather,No,Yes,Fair Trade,"['Vegan Leather', 'No', 'Yes', 'Fair Trade']"
Brand_1421,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_4026,Hemp,Yes,Yes,Fair Trade,"['Hemp', 'Yes', 'Yes', 'Fair Trade']"
Brand_1011,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_3241,Bamboo Fabric,No,Yes,OEKO-TEX,"['Bamboo Fabric', 'No', 'Yes', 'OEKO-TEX']"
Brand_808,Vegan Leather,Yes,No,Fair Trade,"['Vegan Leather', 'Yes', 'No', 'Fair Trade']"
Brand_2944,Tencel,No,Yes,OEKO-TEX,"['Tencel', 'No', 'Yes', 'OEKO-TEX']"
Brand_2940,Recycled Polyester,Yes,Yes,B Corp,"['Recycled Polyester', 'Yes', 'Yes', 'B Corp']"
Brand_107,Hemp,No,Yes,GOTS,"['Hemp', 'No', 'Yes', 'GOTS']"
Brand_1095,Tencel,Yes,Yes,Cradle to Cradle,"['Tencel', 'Yes', 'Yes', 'Cradle to Cradle']"
Brand_2820,Vegan Leather,Yes,No,Fair Trade,"['Vegan Leather', 'Yes', 'No', 'Fair Trade']"
Brand_1045,Recycled Polyester,Yes,No,Fair Trade,"['Recycled Polyester', 'Yes', 'No', 'Fair Trade']"
Brand_2703,Recycled Polyester,Yes,Yes,Fair Trade,"['Recycled Polyester', 'Yes', 'Yes', 'Fair Trade']"
Brand_1889,Organic Cotton,No,No,Fair Trade,"['Organic Cotton', 'No', 'No', 'Fair Trade']"
Brand_678,Hemp,Yes,Yes,OEKO-TEX,"['Hemp', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_2724,Bamboo Fabric,Yes,No,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'No', 'OEKO-TEX']"
Brand_4491,Recycled Polyester,Yes,No,Fair Trade,"['Recycled Polyester', 'Yes', 'No', 'Fair Trade']"
Brand_4752,Vegan Leather,No,No,GOTS,"['Vegan Leather', 'No', 'No', 'GOTS']"
Brand_1420,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_291,Recycled Polyester,Yes,Yes,Fair Trade,"['Recycled Polyester', 'Yes', 'Yes', 'Fair Trade']"
Brand_9,Recycled Polyester,Yes,Yes,GOTS,"['Recycled Polyester', 'Yes', 'Yes', 'GOTS']"
Brand_4739,Vegan Leather,No,Yes,GOTS,"['Vegan Leather', 'No', 'Yes', 'GOTS']"
Brand_1768,Bamboo Fabric,Yes,No,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'No', 'OEKO-TEX']"
Brand_1033,Hemp,No,No,OEKO-TEX,"['Hemp', 'No', 'No', 'OEKO-TEX']"
Brand_4452,Recycled Polyester,No,No,Fair Trade,"['Recycled Polyester', 'No', 'No', 'Fair Trade']"
Brand_4947,Hemp,Yes,Yes,B Corp,"['Hemp', 'Yes', 'Yes', 'B Corp']"
Brand_1600,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_788,Hemp,Yes,Yes,OEKO-TEX,"['Hemp', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_427,Bamboo Fabric,Yes,No,B Corp,"['Bamboo Fabric', 'Yes', 'No', 'B Corp']"
Brand_4302,Bamboo Fabric,No,Yes,OEKO-TEX,"['Bamboo Fabric', 'No', 'Yes', 'OEKO-TEX']"
Brand_2618,Hemp,Yes,No,B Corp,"['Hemp', 'Yes', 'No', 'B Corp']"
Brand_158,Hemp,Yes,Yes,OEKO-TEX,"['Hemp', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_240,Bamboo Fabric,Yes,Yes,OEKO-TEX,"['Bamboo Fabric', 'Yes', 'Yes', 'OEKO-TEX']"
Brand_1331,Bamboo Fabric,No,No,Fair Trade,"['Bamboo Fabric', 'No', 'No', 'Fair Trade']"
Brand_1658,Bamboo Fabric,Yes,Yes,GOTS,"['Bamboo Fabric', 'Yes', 'Yes', 'GOTS']"
Brand_1833,Bamboo Fabric,Yes,No,GOTS,"['Bamboo Fabric', 'Yes', 'No', 'GOTS']"
Brand_108,Vegan Leather,Yes,Yes,Fair Trade,"['Vegan Leather', 'Yes', 'Yes', 'Fair Trade']"
Brand_4354,Tencel,Yes,Yes,B Corp,"['Tencel', 'Yes', 'Yes', 'B Corp']"
Brand_180,Bamboo Fabric,No,No,Fair Trade,"['Bamboo Fabric', 'No', 'No', 'Fair Trade']"
Brand_334,Bamboo Fabric,No,Yes,GOTS,"['Bamboo Fabric', 'No', 'Yes', 'GOTS']"
Brand_4280,Bamboo Fabric,No,Yes,Fair Trade,"['Bamboo Fabric', 'No', 'Yes', 'Fair Trade']"
Brand_3025,Vegan Leather,No,No,Fair Trade,"['Vegan Leather', 'No', 'No', 'Fair Trade']"
Brand_656,Bamboo Fabric,No,Yes,B Corp,"['Bamboo Fabric', 'No', 'Yes', 'B Corp']"
Brand_168,Hemp,Yes,No,Fair Trade,"['Hemp', 'Yes', 'No', 'Fair Trade']"
Brand_81,Recycled Polyester,No,Yes,Fair Trade,"['Recycled Polyester', 'No', 'Yes', 'Fair Trade']"
Brand_1502,Organic Cotton,Yes,No,B Corp,"['Organic Cotton', 'Yes', 'No', 'B Corp']"
Brand_4239,Vegan Leather,No,No,Fair Trade,"['Vegan Leather', 'No', 'No', 'Fair Trade']"
Brand_2868,Bamboo Fabric,Yes,Yes,B Corp,"['Bamboo Fabric', 'Yes', 'Yes', 'B Corp']"
Brand_4322,Recycled Polyester,No,No,GOTS,"['Recycled Polyester', 'No', 'No', 'GOTS']"
